title,company,location,category,description
Information Technology Asset Manager,OSBIndia Private Limited,"Bangalore, Karnataka",IT Jobs,"The IT Asset Manager will be responsible for owning, managing, auditing, and reporting on the software and hardware asset inventory and operational processes and procedures to ensure they meet current and future business needs. They will look to identify any business risk associated with IT assets, and provide advice, and best practice guidance to facilitate effective decision making. They will also provide close support to procurement and supplier relationship teams to help control related ass…"
Student counsellor,Bookofy Education,"Kochi, Ernakulam",Teaching Jobs,"Company Description Bookofy Education Consultancy LLP is a trusted and well-established education consulting firm with a strong track record of guiding students toward successful academic futures. Backed by a team of highly experienced and professional consultants with global exposure, Bookofy provides expert career counselling and admission support for universities in India and abroad.The consultancy also offers comprehensive test preparation services, including International English language …"
"Manager, Software Engineering",TMUS Global Solutions,"Hyderabad, Telangana",IT Jobs,"About T-Mobile: T-Mobile US, Inc. (NASDAQ: TMUS), headquartered in Bellevue, Washington, is Americas supercharged Un-carrier, connecting millions through its strong nationwide network and flagship brands, T-Mobile and Metro by T-Mobile. Customers benefit from an unmatched combination of value, quality, and exceptional service experience. About TMUS Global Solutions: TMUS Global Solutions is a world-class technology powerhouse accelerating the companys global digital transformation. With a cultu…"
Teradata Architect ( fulltime opportunity wit fortune 500 company ),HARP,"Uttar Pradesh, India",IT Jobs,"Job Description Job Title: Teradata Architect Exp: 12 to 15 years (P5) Loc: Ghaziabad Np: Immediate to serving 30 days Primary skills: Data Architecture & Design; Teradata Architecture; Data Modeling & storage Strategies; Medallion architecture design principles; Teradata querying expertise, Performance Optimization & Workload Management; Secondary Skills: Data Integration, Virtualization & Semantic Modeling; Automation & Monitoring; Excellent Communication & Collaboration Skills; Detail orient…"
Administrative Assistant,SkillArbitage,India,Admin Jobs,"Company Description We suggest you enter details here. Role Description This is a full-time on-site role for an Administrative Assistant, located in Tura. The Administrative Assistant will perform daily administrative and clerical tasks, including scheduling and managing appointments, coordinating meetings, handling phone communications, and organizing office supplies. They will assist executives with administrative duties as needed and ensure efficient office operations. Qualifications Profici…"
Guest Relations Executive,goSTOPS,India,Hospitality & Catering Jobs,"Job Title: Guest Relations Executive / Senior Guest Relations Executive Location : Alibaug We are looking for a Guest Relations Executive / Senior Guest Relations Executive to join our team at goSTOPS, India's fastest-growing backpacker hostel brand. As a key member of the team, you will be responsible for ensuring an exceptional guest experience at our properties in North India, fostering a welcoming and vibrant atmosphere for all visitors. Roles and Responsibilities ● Guest Services: Greet an…"
Sourcing Manager,Buildskill,India,Retail Jobs,"Buildskill is one of India’s fastest-growing home improvement and tools brands, rooted in precision, product innovation, and operational excellence. As we expand globally with a new office in China, we’re looking for a Sourcing Manager with strong Mandarin fluency, deep international vendor management experience, and the maturity to lead cross-border sourcing operations. If you’re a self-made professional who’s built expertise from the ground up, navigated tough negotiations, and understands th…"
AI/ML Architect with GCP,"iitjobs, Inc.",India,IT Jobs,"Greetings Role:- AI/ML Architect with GCP Location- 100 % Remote Duration: Long Term Contract Immediate Joiner Experience Level: 8 yrs Required Skills: ● Proven experience as an AI/ML Architect, specifically with a focus on Generative AI and Large Language Models (LLMs) in production. ● Deep expertise in building Agentic Workflows using frameworks like LangChain, LangGraph, or AutoGen. ● Strong proficiency in designing RAG (Retrieval-Augmented Generation) architectures -Refer and earn Rs.50,000…"
Principal Software Engineer,Foodsmart,"Hyderabad, Telangana",IT Jobs,"| About us: Foodsmart is the leading telenutrition and foodcare solution, backed by a robust network of Registered Dietitians. Our platform is designed to foster healthier food choices, drive lasting behavior change, and deliver long-term health outcomes. Through our highly personalized, digital platform, we guide our 2.2 million members—including those in employer-sponsored health plans, regional and national Medicaid managed care organizations, Medicare Advantage plans, and commercial insurer…"
Demand Generation Associate,ValueFirst,India,Sales Jobs,"About the role: As an Associate – Demand Generation at ValueFirst, you will play a crucial role in generating demand for our offering. You will be responsible for conducting outreach to potential prospects through calls and emails, driving engagement and interest, and creating and implementing solutions that address their business needs. Your contribution will directly impact our sales pipeline and overall growth. What you’ll be responsible for Initiating outbound prospecting through calls and …"
SAP MM,YASH Technologies,"Hyderabad, Telangana",IT Jobs,"Dear Connection Yash Technologies is looking for Senior MM Lead . Experience: 10-20 yrs Skill :SAP MM with S/4 HANA Implementation in two project Mandatory . Notice: Immediate to 15 days Work location Location: Hyderabad Job Description: 10 to 20 Years of Experience in MM S/4 HANA . Minimum 2 End-to-end SAP S4 HANA greenfield implementation Exp is must Excellent business process knowledge with STO, Subcontracting and drop shipment Etc. Ability to conduct workshops, drive the requirement and sol…"
DevOps Engineer,Flexmoney Technologies Pvt Ltd,"Mumbai, Maharashtra",IT Jobs,"Job Description | DevOps Engineer Company: Flexmoney Technologies Pvt. Ltd Location: Mumbai About Flexmoney: Flexmoney’s mission is to “ Re-imagine Consumer Credit ” for the mobile-first digital consumer. Our omni-channel embedded finance and affordability platform enables merchants, brands and partners to seamlessly embed contextual affordability options across all customer touchpoints and sales channels, so as to drive higher conversion and increase customer satisfaction and loyalty. We work …"
Project Manager,Bridgesoft,"Hyderabad, Telangana",IT Jobs,"Company Description: Bridgesoft is a premier provider of technology, and information security management solutions with a focus on enabling businesses to achieve their goals through IT-powered risk management. Specializing in efficient Identity Governance, we deliver innovative, technology-driven solutions tailored to meet client objectives while maintaining acceptable risks. With a strong dedication to customer satisfaction, we have established a global presence and reputation for resolving co…"
Travel Consultant,SWITRUS HOLIDAYS,"Ahmedabad, Gujarat",Sales Jobs," Travel Consultant – Ahmedabad| Immediate Hiring   Location: Ahmedabad  CTC: ₹20,000 – ₹45,000 / month  Incentives  Role: Sales | Travel | Europe Packages Join Switrus, India’s leading Europe Group Tour Specialist. Consult customers, close premium Europe tour packages & earn attractive incentives. ✅ Freshers & experienced candidates welcome ✅ High-quality inbound leads ✅ Strong sales training provided  Apply Now ⭐ Why Join Switrus?  Europe-only specialist – premium, high-value tour products  Ho…"
Power System Engineer,iFlow Inc.,India,Engineering Jobs,"Power System Application Engineer Remote Longterm Description 5 years of work experience in customizing and delivering Energy Management Systems preferably e-terrra AEMS - Reliance Should have worked on Power Systems applications for transmission (Load flow, contingency analysis, Power Factor etc) 5  years of experience with C++, Java or other related language. 5 years of experience with LINUX and Windows Operating Systems."
Sr. Clinical IT (Medidata Rave) Programmer (India - Remote),CloudLabs Inc,India,IT Jobs,"About CloudLabs: CloudLabs Inc was founded in 2014 with the mission to provide exceptional IT Business consulting services at a competitive price, to help clients realize the best value from their investments. Within a short span, CloudLabs evolved from pure-play consulting into a transformative partner for Business Acceleration Advisory, Transformative Application Development Managed Services - enabling digital transformations, MA transitions, Automation Process-driven optimizations complex In…"
Frontend Developer,Tagshaw Consulting Limited,"Karnataka, India",IT Jobs,"Company Description Tagshaw Consulting Limited is a UK-based startup with over eight years of experience partnering with Fortune 500 companies to deliver innovative and robust technological solutions. Combining innovation and technology, we focus on providing simple yet impactful solutions that enhance customer experiences. Our services include transformation, consulting, software engineering, platform engineering, quality engineering, and digital product engineering. While we specialize in the…"
Senior Electrical Design Engineer,TOSHIBA TRANSMISSION & DISTRIBUTION SYSTEMS  PRIVATE LIMITED,"Hyderabad, Telangana",Engineering Jobs,Company overview: A GLOBAL SUPPLIER OF INTEGRATED SOLUTIONS Toshiba Transmission & Distribution Systems group is a world leader in the supply of integrated solutions for energy Transmission & Distribution About the Job: We are looking for Design Engineer (Electrical) to join our team to support Power Transformer division and candidate should have good knowledge of Power transformer is preferable Job Profile: Design Engineer for Power Transformers Position: Engineer to Manager Department: Engine…
Junior Architect,Alankaar Interiors,"Chennai, Tamil Nadu",Creative & Design Jobs,"We’re Hiring: Interior Designer (3D Visualizer) Company: Alankaar Interiors Location: Chennai - Pallikaranai Experience: 0 - 1 Years Job Type: Full-Time Salary: ₹ 20,000 Per Month (Fixed) We are looking for a creative and detail-oriented Interior Designer who is passionate about transforming spaces into stunning, functional environments.  Key Responsibilities : 1. Create innovative interior design concepts for residential & commercial projects 2. Develop 3D models and realistic renderings of in…"
CSOD Partner Implementation Specialist,NIIT,India,IT Jobs,"About NIIT NIIT is a leading Skills and Talent Development Corporation that is building a manpower pool for global industry requirements. The company, which was set up in 1981 to help the nascent IT industry overcome its human resource challenges, today ranks among the world’s leading training companies owing to its vast, yet comprehensive array of talent development programs. With a footprint across 40 nations, NIIT offers training and development solutions to Individuals, Enterprises, and Ins…"
Field Sales Executive,IndiaMART InterMESH Limited,"Chandigarh, India",Sales Jobs,Designation: Executive – Client Acquisition Salary: 4.2 LPA – 5 LPA  Incentives Location: Multiple Locations Across India Payroll: Company Payroll Eligibility: below 29 years with up to 3 years of experience Benefits: Weekly Salary and Weekly Incentive Policy Qualifications: Graduate/MBA/B-Tech with a minimum of 9 months of sales experience Join us and make it happen. Heres what we offer and what were looking for: What the Role Offers -Build new clients and establish trust and rapport. - Engage…
Flutter Developer,Bit Canny technologies Pvt. Ltd,"Kolkata, West Bengal",IT Jobs,"Hiring: Flutter Developer (5 Years Experience)  Location: Kolkata (Work from Office) (Apply only if your current location is Kolkata) We are looking for an experienced Flutter Developer who can build high-quality, scalable mobile applications for Android and iOS. The candidate should be comfortable working with product teams and delivering clean, maintainable code.  Responsibilities Develop and maintain mobile apps using Flutter (Dart) . Translate UI/UX designs into responsive mobile screens. I…"
Finance Controller,enGen Global,"Chennai, Tamil Nadu",Accounting & Finance Jobs,"Greeting from enGen Global  We are looking for a Finance Controller based in Chennai location. Job Summary: The Finance Controller will be a highly experienced and strategic leader responsible for overseeing all financial operations, financial reporting, and compliance activities within our organization, with a strong emphasis on GCC environment and regulatory frameworks. This role requires a seasoned professional with a minimum of 15 years of progressive experience, demonstrating a deep unders…"
Founding AI Engineer,Alchemic ,India,IT Jobs,"Company Description Alchemic is a market research platform that helps companies get customer insights in days, not months. We make it possible to run AI interviews over voice, video, text, and WhatsApp, and automatically generate consultancy-grade reports. Every conversation becomes searchable so teams can make faster, better decisions. Who will succeed in this role: You are ambitious and want to scale software products from 0 to 1. You probably want to start your own company at some point in t…"
Technical Trainer,vConstruct Private Limited,India,Teaching Jobs,"Why does this role exist This role exists to strengthen how construction knowledge is built, shared, and applied across the organization. It ensures that teams understand end-to-end construction processes, interpret drawings correctly, and use construction technology and BIM tools with confidence and consistency. When this role is done well, new joiners ramp up faster. Existing teams make fewer errors. Project workflows become clearer. Technology adoption improves. Learning moves beyond theory …"
Senior ETL/Data Engineer with Apache Airflow and Databricks Experience,EazyML,India,IT Jobs,"EazyML, Recognized by Gartner, EazyML (www.EazyML.com) specializes in Responsible AI. Our solutions facilitate proactive compliance and sustainable automation and The company is associated with breakthrough startups like Amelia.ai. This is a full-time Remote role for a Senior ETL Data Architect / Lead Data Engineer (Databricks, Apache Airflow & BERT/LLM Expert) The person can work from home (anywhere in INDIA, job location is in India). We’re hiring a Senior Data Architect to design and lead sc…"
Junior Consultant Digital Trust,Persistent Systems,India,IT Jobs,"About Position: Persistent is scaling up its global Digital Trust practice. Digital Trust encompasses the domains of Data Privacy, Responsible AI, GRC (Governance, Risk & Compliance), and other related areas. This is a rapidly evolving domain globally that is at the intersection of technology, law, ethics, and compliance. Team members of this practice get an opportunity to work on innovative and cutting-edge solutions. As an Associate Consultant, you will support client consulting engagements i…"
Jio Center Manager,Jio,"Hindupur, Anantapur",Retail Jobs,"We at Jio are hiring for Jio Center Manager Hindupur, Andhra Pradesh Key requirements are 1.Graduation and Post-Graduation, MBA preferred 2. Experience of 10-14 years (Min 7 years in Telecom) Job Description 1. Responsible to ensure sales and customer acquisition targets 2. Optimize cost and productivity of Jio Centre 3. Ensure seamless operation and administration of Jio Centre 4. Ensure adherence to statutory compliances and commercial controls 5. Obtain permissions required for project execu…"
Project Architect,flYingseeds Design Studio pvt ltd,"South Delhi, Delhi",Creative & Design Jobs,"flYingseeds Design Studio  We’re Hiring: Project Architects & Interns flYingseeds Design Studio is expanding its core team, and we are looking for creative, technically-skilled individuals to join us in our mission to bridge innovation with impact. At flYingseeds, you won’t just be ""drawing""—you’ll be building. From boutique private to esteemed government landmarks , you will be involved in the 360-degree lifecycle of architecture. ✨ Why Join Us? Core Team Impact: Immediate openings to join our…"
Senior- Level Maintenance & Projects (Electrical),ArcVac ForgeCast Private Limited,"Kolkata, West Bengal",Engineering Jobs,"Brief Job Description: Will be responsible for all Electrical Maintenance & Projects activities and the job responsibilities will entail the following: Current maintenance practices are focused on break-down maintenance, incumbent will be required to completely overhaul the present practices with implementation of modern maintenance practices. Will be responsible for all maintenance and projects (M&P) activities of electrical department including instrumentation and automation. Will be required…"
Senior Graphic Designer,Next Digital Recruitment,"Vadodara, Gujarat","PR, Advertising & Marketing Jobs","Job Opportunity: Creative Lead/ Sr. Graphic Designer Experience: 6–10 years Location: Vadodara (Head Office) Employment Type: Full-Time | Leadership Role About the Company We are looking for a Creative Lead who will own and elevate the visual identity of the brand across all platforms — retail, packaging, digital, exports, and campaigns. This is not just a design execution role. It is a brand leadership position responsible for shaping how company looks, feels, and communicates. Responsibilitie…"
Manager – Marketing (360° Growth Leader),Joy-N-Crew Vacations LLP,India,"PR, Advertising & Marketing Jobs","Company Description Joy-N-Crew Vacations LLP creates transformative travel experiences designed to immerse travelers in the culture and traditions of Japan. Renowned as Japan specialists, the team possesses deep insight into the nation's history, culture, and landscapes. From the vibrant streets of Tokyo to the serene temples of Kyoto, Joy-N-Crew offers personalized itineraries that foster genuine connections and meaningful experiences. Local guides play a key role in offering visitors authenti…"
Copywriter,Publicis Groupe,India,"PR, Advertising & Marketing Jobs","The ideal candidate is a creative team player, talented wordsmith, and grammar sleuth. You will be responsible for developing marketing and communications content that will separate us from the crowd. Responsibilities Collaborate with internal partners to interpret project briefs and develop relevant concepts into content Ensure that all products are proofed and ready for delivery or posting Prepare files and concept boards for client review and presentation Qualifications Bachelor's degree or …"
Accounting and Finance,NUPI,India,Accounting & Finance Jobs,"Job Role: Accounting & Finance Job Type: Full-Time Job Location: Chandivali , Powai Website - https://nupipay.com/ About NUPI : NUPI runs Multi-Brand Loyalty programs for our Partners and simplify some of the largest global Brands to acquire and retain customers online/offline aiming to be the trusted partner for consumers in their Brand selection process. It offers a Redemption Engine to consumers leveraging the group’s acquired SME-commerce capacities. NUPI provides an all-in-one solution for…"
HR Executive / Welfare officer,Exide Energy Solutions Ltd,"Bangalore, Karnataka",HR & Recruitment Jobs,"Role & responsibilities 1. Contingent Workforce Management: Manage end-to-end processes for contingent staff, such as onboarding, offboarding and maintenance of the Contingent Masterfile. 2. HR Operations Support: Provide operational support across HR functions, including time and attendance management via systems like UKG Kronos. Collaborate with IT teams to resolve system-related issues promptly. 3. Grievance Redressal: Address and resolve women employees grievances, ensuring timely support a…"
Senior Data Engineer,Collinson,"Mumbai, Maharashtra",IT Jobs,"Location - Mumbai only (Hybrid) About the Company: Collinson is a global, privately-owned company dedicated to enhancing the travel experience for millions worldwide. With over 30 years of expertise, we help top brands like American Express, British Airways, and Sephora engage and retain high-value customers. Our innovative solutions, including the world-renowned Priority Pass, set the standard for customer loyalty in the Financial Services, Travel, and Retail sectors. With 2,000 passionate emp…"
Talent Acquisition Partner,Infosec Ventures,India,HR & Recruitment Jobs,"Company Description Infosec Ventures is dedicated to incubating and scaling innovative cybersecurity solutions that address critical inefficiencies and deliver high ROI for customers. Focused on safeguarding both systems and the ""human operating system,"" the company is driven by its mission to make the world cyber-safe. Infosec Ventures spearheads impactful projects such as humanfirewall.io, emailauth.io, and bugsbounty.com. The emphasis is not just on ideas but on exceptional execution to achi…"
Deployment Planner,Sundrop Brands Limited ,India,Logistics & Warehouse Jobs,"To deploy Finished Goods from factories to Mother depots/ depots and to optimize the Supply Chain network to achieve the desired “Case fill Rates” while balancing “FG Inventory” and the “Logistics costs”, in accordance with Sundrop Brands ltd business goals. • Create daily tentative “Deployment Plan” and Final “Deployment Plan” from factories to all CFAs to ensure meeting targeted Fill rates and Inventory Levels at depots. • Participate, recommend and take actions on the minutes of the meeting …"
MSP Program Specialist,Workspend Inc.,"Hyderabad, Telangana",IT Jobs,Company Overview: Workspend is a leading global provider of contingent workforce management solutions for Fortune 500/Global 2000 clients. Workspend is one of the fastest growing companies in the industry and currently supports over 40 clients to manage their temporary workforce and total talent solutions. Workspend is an innovative company and we are using the latest innovative technologies to disrupt the workforce industry. Job Summary: The Program Specialist is responsible for supporting tem…
"Sr Engineer, SDET [T500-22385]",TMUS Global Solutions,"Hyderabad, Telangana",IT Jobs,"About T-Mobile: T-Mobile US, Inc. (NASDAQ: TMUS), headquartered in Bellevue, Washington, is America’s supercharged Un-carrier, connecting millions through its strong nationwide network and flagship brands, T-Mobile and Metro by T-Mobile. Customers benefit from an unmatched combination of value, quality, and exceptional service experience. About TMUS Global Solutions: TMUS Global Solutions is a world-class technology powerhouse accelerating the company’s global digital transformation. With a cul…"
Associate Brand Manager,VIP Industries Limited,"Mumbai, Maharashtra","PR, Advertising & Marketing Jobs","Handle all related activities for the marketing of travel products. Will work closely with sales to understand and counter competition with unique value propositions. Will handle media planning & impact effectiveness in advertising. Assist in the launch of products and support sales. Use sales forecasting and strategic planning to ensure the sale and profitability of products, lines, or services, Analyzing business developments and monitoring market trends. Annual budgeting Leads regular market…"
Cloud Project Manager,Tata Communications,"Bangalore, Karnataka",IT Jobs,"About the job: The ideal candidate will be responsible for planning, coordinating, and ensure roadmap delivery within the decided-upon timeline, and scope. They will also effectively monitor and present project updates to relevant stakeholders (Leadership team, product managers and development leads) Core Responsibilities: Program Ownership & Delivery Own end-to-end execution of complex, cross-portfolio programs across multiple product lines (IaaS, PaaS & AI) Define and maintain program charter…"
"Specialist - Actuarial Pricing, Non Life",Marsh McLennan,"Mumbai, Maharashtra",Consultancy Jobs,"We are seeking a talented individual to join our Actuarial team at Marsh Mc Lennan. This role will be based in Mumbai/Gurgaon. This is a hybrid role that has a requirement of working at least three days a week in the office. We will count on you to: Reporting key metrics, self-service analytics products and analyse disparate data sets together for patterns and insights. Exploratory data analytics, Predictive models that forecast behaviours and cost and Data story telling by using the best-in-cl…"
Airline Revenue Accounting Associate,SAACH Travel Technologies,India,Accounting & Finance Jobs,"What This Role Is About: We are seeking a detail-oriented and proactive Airline Revenue Accounting Executive to join our Revenue Accounting team. The ideal candidate will be responsible for managing financial transactions, ensuring accurate reconciliations, and supporting accounting processes related to airline operations. This role requires strong analytical skills, accuracy in financial reporting, and excellent communication abilities to support both internal teams and international clients. …"
Solution Architect-AI and Digital,Nouryon,"Navi Mumbai, Maharashtra",IT Jobs,"At Nouryon, our global team of Changemakers takes positive action every day, to reach higher goals collectively and individually. We create innovative and sustainable solutions for our customers to answer society’s needs – today and in the future. Purpose/Key Objectives of the Job: To design, govern, and drive the implementation of scalable digital and AI solutions. The Solution Architect acts as the bridge between business strategy and technical execution, ensuring that Nouryon’s digital platf…"
Senior System Administrator,WeAgile Software Solutions Pvt. Ltd.,India,IT Jobs,"About WeAgile Software Solution Pvt. Ltd. We are a leading technology firm that integrates strategy, design, and software engineering to enable enterprises and technology disruptors across the globe to thrive as modern digital businesses. Ongoing digital disruption is challenging enterprises to keep pace with the accelerating rate of technological change. This is where WeAgile can help. We leverage our vast experience to improve our clients’ ability to respond to change; utilize data assets to …"
Immediate joiners - Project Manager - CVA (Credit Valuation Adjustment),Anlage Digital,"Bangalore, Karnataka",IT Jobs,"Job Profile The Project Manager will be a driving force behind the implementation of global Counterparty Credit Risk (CCR), CVA, and XVA initiatives. The role requires a proven track record as a change professional delivering large-scale programmes within a banking environment. This is a Global role that requires close collaboration with Front Office, Product Control, Accounting, Risk, and Operations. You will be expected to utilize your comprehensive front-to-back knowledge of these banking fu…"
Graphic Designer,Four Clowns,"Ahmedabad, Gujarat",Creative & Design Jobs,"Company Description Four Clowns is a 360 degree communications company that can cater to all types of communications needs of the clients. This emerging unit of creative clowns offers a wide range of creative and communication services suitable for grassroots communication to global-digital platforms. Role Description This is a full-time on-site role for a Senior Graphic Designer located in Ahmedabad. The Senior Graphic Designer will be responsible for creating visually compelling graphics, dev…"
LeanData Administrator (contract- 6 months),Mavlers,India,IT Jobs,"Job Title: LeanData Administrator Experience: 4–6 years Contract Duration: 6 months Shift: Night shift (US time) Work Mode: Remote Role Overview We are looking for a hands-on LeanData Operations Specialist to support and optimize LeanData use cases, including BookIt (meeting scheduler). The role will partner closely with LeanData SMEs to build, maintain, and monitor routing automations that directly impact lead conversion and sales efficiency. Key Responsibilities Support expansion of LeanData …"
Senior Printed Circuit Board Designer,Utthunga,"Bangalore, Karnataka",Engineering Jobs,"ECAD Engineer (PCB Design & PLM) Experience: 5 to 10 years Location: Bangalore Notice: Immediate / 15 Days or less Suitable as per the below JD - Please share resumes to kiran.k@utthunga.com Experienced in schematic design and capture, along with comprehensive PCB design (Mentor Graphics tools)activities including component placement, routing, split planes, DRC cleanup, and silkscreen and assembly drawing cleanup. Proficient in post‑processing deliverables such as generating PCB Gerbers, PCBA d…"
Quality Control Engineer,Uppteam,"Surat, Gujarat",Trade & Construction Jobs,"We are seeking a detail-oriented and technically skilled professional to manage the review and quality control of design and construction drawings. The ideal candidate will ensure the accuracy, completeness, and coordination of architectural and consultant drawings by leveraging industry-standard QC practices and tools. Key Responsibilities: Drawings Review: Conduct thorough reviews of architectural and engineering drawings to ensure design integrity and completeness. Identify and rectify misse…"
Customer Support Executive,Risebird,"Noida, Ghaziabad",Customer Services Jobs,"Job Title: Customer Support Executive (Voice Process) Location: Noida, Sector 62 Working Days: 6 Days a Week Working Hours: 10:00 AM – 7:00 PM Joining: Immediate Joiners Only About the Role We are hiring Customer Support Executives – Voice Process in Noida. The role involves handling customer interactions over voice calls and delivering high-quality support to domestic and international customers. About Risebird Leading Interview as a service platform for experts who are exploring part-time, fr…"
Executive Assistant,Shiv Nadar School,"Noida, Ghaziabad",Teaching Jobs,"Designation/Role: Executive Assistant/Academic Assistant Location: Noida Reporting : Director of Education THE POSITION The Academic Assistant at Shiv Nadar School is a critical role that fuses educational operations, technology enablement, and data-driven decision-making. As a core member of the academic ecosystem, the role supports the Director of Education by ensuring that all learning processes, schedules, and instructional systems run with precision. This role requires an individual who ca…"
Customer Support(International Voice),Movate,"Chennai, Tamil Nadu",Customer Services Jobs,"Primary Responsibilities Include: • Respond promptly, courteously, and knowledgeably to technical support inquiries • Provide top-tier support to all customers with a goal of first call resolution • Educate customers on system installation/use, and assist in troubleshooting • Utilize prior customer support experience to enable customer success and happiness • Use problem-solving skills to solve customer issues and address concerns • Outbound calls to current customers to address issues, when ne…"
AI Engineer (Multimodal AI / RL),TechKareer,India,Engineering Jobs,"About the Role The AI Engineer will be responsible for designing and building proprietary machine-learning models that reason about electrical and mechanical engineering work for use in automated scoring and evaluation. Responsibilities Design and build proprietary machine-learning models that reason about electrical and mechanical engineering work (schematics, PCB layouts, CAD geometry, simulations, and design workflows) for use in automated scoring and evaluation Develop novel model architect…"
Sales Coordinator (Back office),Alubond USA,"Mumbai, Maharashtra",Sales Jobs,"Job Summary: We are looking for an experienced Sales Coordinator to support our India office based in Bandra, Mumbai . The role involves close coordination with manufacturing, logistics, and sales teams to ensure smooth order processing, timely deliveries, and effective communication with both internal and external stakeholders. Key Responsibilities: Coordinate sales orders from receipt to final delivery, ensuring accuracy and timely execution Liaise with manufacturing and logistics teams to tr…"
Audit Senior – Asset Management,Forvis Mazars in the UK,India,Accounting & Finance Jobs,"About the Role At Forvis Mazars, we empower people to shape the future of our firm. As an Audit Senior – Asset Management , you will play a key role within our experienced audit team, taking ownership of significant sections of UK audit engagements and delivering high-quality work aligned with our professional standards. You will work closely with UK engagement managers and the wider extended audit team, ensuring timely delivery, exceptional client service, and continuous improvement throughout…"
Accounts - CMA Trainee,Isourse,"Delhi, India",Accounting & Finance Jobs,"About ISOURSE: ISOURSE is a leading technology company driving digital transformation in Retail and Supply Chain Management (SCM). Our mission is to simplify and automate industry operations using AI/ML-driven solutions. Recognized by industry and government bodies, we take pride in our innovation-led approach and commitment to operational excellence. As part of our expansion, we are looking for a motivated and detail-oriented Accounts Trainee (CMA) to join our Finance team. This role offers ha…"
Tele Sales Executive,Ubique Systems,India,Sales Jobs,"Role: Tele sales Executive Experience: 6 Months-1 Years Location: Gurgaon (WFO) Working Days: 6 Days Working Experience Required 6 months to 2 years of experience in Customer Support Tele Sales experience preferred Experience in BFSI / Finance / NBFC / Loan Process will be an added advantage  Key Responsibilities Handle inbound and outbound customer calls professionally and efficiently Resolve customer queries related to products, services, payments, or account issues Pitch and cross-sell produ…"
Senior Accountant,Inspire Brands Hyderabad Support Center,"Hyderabad, Telangana",Accounting & Finance Jobs,"Senior Accountant, Lease Accounting: The Senior Accountant, Lease Accounting role supports the operational lease accounting function to ensure complete and accurate financial close, internal, and external reporting, and the end-to-end lease cycle. This position will help to ensure that the lease accounting policy (in accordance with US GAAP ASC 842) is executed and documented, along with appropriate governance, controls, and segregation of duties. This role is highly collaborative and highly vi…"
Assistant Manager / Executive - Technical Sales,SEW-EURODRIVE India Private Limited,"Bangalore, Karnataka",Sales Jobs,Assistant Manager / Executive – Technical Sales About the Role We are seeking enthusiastic and driven candidates to join our Technical Sales team. You will be responsible for handling incoming sales enquiries and working within our sales departments. The role requires a proactive approach to building relationships and providing reliable solutions directly to our customers. Role Locations: Electronic City (Bengaluru ) Responsibilities Building the SEW brand and value proposition in the market Ac…
Director Data Science Labor,Albertsons Companies India,"Bangalore, Karnataka",IT Jobs,"Position Title: Director / Senior Director Data Science About the Role: Albertsons Companies is seeking a visionary Senior Director of Data Science to lead the design and deployment of advanced data science and AI capabilities that forecast demand, predict labor requirements, and intelligently schedule store teams. This leader will define the data science roadmap that powers store-level labor precision connecting demand signals, staffing needs, and scheduling automation to elevate both customer…"
"Marketing Manager, US Market Expansion",Rapyuta Robotics,"Chennai, Tamil Nadu",IT Jobs,"Rapyuta Robotics is a global leader in cloud robotics. We build the next generation of robotic solutions that help logistics and warehousing enterprises scale efficiently. As we accelerate our growth in the North American market, we are looking for a high-energy, strategic, and ""hands-on"" Marketing Manager to lead our US expansion efforts from our Chennai office. We are seeking a Marketing Manager to join our Global Hub in the Chennai office . We are looking for a driven, high-growth-mindset pr…"
Plant Human Resources Manager - GSB,Asahi India Glass Limited ,India,Healthcare & Nursing Jobs,' Assess and ascertain manpower requirements for the business ensuring adequate staff backup to avoid crisis situations and working with hiring team to ensure backfill hiring is completed within agreed timelines. -Manpower Planning - Selection & Recruitment - Induction - Attrition Analysis
Snowflake Admin,Manuh Technologies,India,IT Jobs,Job Description: Snowflake Admin- Development via SchemaChange Monitoring or Jenkins GitHub - PR Review Pocess Development and Review process of DBT Understanding of AWS ecosystems Development of AWS Event Bridge for Kafka/Real Time Ingestion
ETL Developer,Capgemini,"Bangalore, Karnataka",IT Jobs,"We are seeking a highly skilled DataStage Developer to design, develop, and maintain robust ETL processes for our growing data warehouse. In this role, you will be the bridge between raw data and actionable business insights, leveraging your expertise in IBM InfoSphere DataStage , complex SQL , and UNIX shell scripting to build high-performance data pipelines. Locations: Pune/Bangalore Key Responsibilities: ETL Design & Development: Create, test, and deploy complex Parallel and Sequencer jobs u…"
OSINT Analyst,Innefu Labs,"Lucknow, Uttar Pradesh",IT Jobs,"Job Description for Business Analyst - OSINT Company Description ( www.innefu.com ) Founded in 2010, Innefu is an AI Driven R&D company providing cutting edge Data Analytics and Information Security solutions. The company was started with a clear focus to carry out high Tech R&D which fuels innovation and leads to products which can capture the global market and be the cornerstone of the economy of the country. With more than 100 installations across Indian Subcontinent, Middle East and Southea…"
